sid,scode,name,spec,isstandard,KG,hsl,uname
0001c825965511ea8d757cd30ac4d7e6,16zd2096,鲜3:7碎肉,15KG/包,1,KG,15,箱
000a7532965511ea8d757cd30ac4d7e6,8082629,颐丰冰鲜脚圈 10KG/包,,1,KG,10,包
000f4e0f965511ea8d757cd30ac4d7e6,16dm031,但马冰鲜去盖臀肉FB7-8,,0,KG,1,箱
0014012f965511ea8d757cd30ac4d7e6,16dm032,但马冰鲜小米龙FB7-8,,0,KG,1,箱
00193888965511ea8d757cd30ac4d7e6,16dm033,但马冰鲜大米龙FB7-8,,0,KG,1,箱
001e4485965511ea8d757cd30ac4d7e6,16dm034,但马冰鲜牛霖（和尚头）FB7-8,,0,KG,1,箱
00236b5b965511ea8d757cd30ac4d7e6,16dm066,但马撒撒米(牛腩排F-肉)FB7-8,,0,KG,1,箱
00289b28965511ea8d757cd30ac4d7e6,16dm035,但马冰鲜臀腰肉盖FB7-8,,0,KG,1,箱
002d7a1d965511ea8d757cd30ac4d7e6,16dm067,但马肋条肉FB9+,,0,KG,1,箱
00332c45965511ea8d757cd30ac4d7e6,16dm036,但马冰鲜臀腰肉心FB7-8,,0,KG,1,箱
0037fa94965511ea8d757cd30ac4d7e6,16dm068,但马肋条肌FB9+,,0,KG,1,箱
003cc816965511ea8d757cd30ac4d7e6,16dm037,但马冰鲜三角肉FB7-8,,0,KG,1,箱
0042871c965511ea8d757cd30ac4d7e6,16dm069,但马保乐FB9+,,0,KG,1,箱
0047f85c965511ea8d757cd30ac4d7e6,16dm038,但马冰鲜上脑边（牛板腱）FB7-8,,0,KG,1,箱
004f41a5965511ea8d757cd30ac4d7e6,16dm070,但马上脑心FB9+,,0,KG,1,箱
00551a82965511ea8d757cd30ac4d7e6,16dm040,但马冰鲜颈肉卷末端FB7-8,,0,KG,1,箱
005a06db965511ea8d757cd30ac4d7e6,16dm071,但马去盖臀肉FB9+,,0,KG,1,箱
005fbf7f965511ea8d757cd30ac4d7e6,16dm072,但马前胸FB7-8,,0,KG,1,箱
006465cb965511ea8d757cd30ac4d7e6,16dm041,但马冰鲜保乐FB7-8,,0,KG,1,箱
00695115965511ea8d757cd30ac4d7e6,16dm042,但马冰鲜板腱FB7-8,,0,KG,1,箱
006ea226965511ea8d757cd30ac4d7e6,16dm043,但马冰鲜嫩肩FB7-8,,0,KG,1,箱
00738483965511ea8d757cd30ac4d7e6,16dm073,但马前胸FB9+,,0,KG,1,箱
0078501a965511ea8d757cd30ac4d7e6,16dm044,但马冰鲜边肉FB7-8,,0,KG,1,箱
007dda9b965511ea8d757cd30ac4d7e6,16dm074,但马牛腱CFB7-8,,0,KG,1,箱
0082fd9e965511ea8d757cd30ac4d7e6,16dm045,但马冰鲜前胸FB7-8,,0,KG,1,箱
0087ff8a965511ea8d757cd30ac4d7e6,16dm046,但马冰鲜腹心肉FB7-8,,0,KG,1,箱
008d556a965511ea8d757cd30ac4d7e6,16dm075,但马牛腱CFB9+,,0,KG,1,箱
0092242e965511ea8d757cd30ac4d7e6,16dm047,但马冰鲜西冷FB7-8,,0,KG,1,箱
00989573965511ea8d757cd30ac4d7e6,16dm076,但马西冷FB7-8/外脊,,0,KG,1,箱
009e51a3965511ea8d757cd30ac4d7e6,16dm048,但马冰鲜牛柳FB7-8,,0,KG,1,箱
00a3dfdc965511ea8d757cd30ac4d7e6,16dm049,但马冰鲜撒撒米FB7-8,,0,KG,1,箱
00a8ae53965511ea8d757cd30ac4d7e6,16dm077,但马西冷FB9+/外脊,,0,KG,1,箱
00ad87d4965511ea8d757cd30ac4d7e6,16dm078,但马眼肉FB7-8,,0,KG,1,箱
00b2f3f8965511ea8d757cd30ac4d7e6,16dm079,但马眼肉FB9+,,0,KG,1,箱
00b8492e965511ea8d757cd30ac4d7e6,16dm050,但马冰鲜横膈膜（内裙肉）FB7-8,,0,KG,1,箱
00bcfa5a965511ea8d757cd30ac4d7e6,16dm051,但马冰鲜后胸FB7-8,,0,KG,1,箱
00c1b6bf965511ea8d757cd30ac4d7e6,16dm052,但马冰鲜牛小排（短肋肉）FB7-8,,0,KG,1,箱
00c64866965511ea8d757cd30ac4d7e6,16dm053,但马冰鲜眼肉FB7-8,,0,KG,1,箱
00cb2da9965511ea8d757cd30ac4d7e6,16dm054,但马冰鲜肋背FB7-8,,0,KG,1,箱
00d135d1965511ea8d757cd30ac4d7e6,16dm055,但马冰鲜眼肉盖（泪眼眉）FB7-8,,0,KG,1,箱
00d5cf1b965511ea8d757cd30ac4d7e6,16dm080,但马撒撒米(牛腩排F-肉)FB9+,,0,KG,1,箱
00da9778965511ea8d757cd30ac4d7e6,16dm056,但马冰鲜三角肩肉FB7-8,,0,KG,1,箱
00df5191965511ea8d757cd30ac4d7e6,16dm057,但马冰鲜肋条肉FB7-8,,0,KG,1,箱
00e4df82965511ea8d757cd30ac4d7e6,16dm058,但马冰鲜肋条肌FB7-8,,0,KG,1,箱
00e9bbd3965511ea8d757cd30ac4d7e6,16dm059,但马冰鲜精修腱子肉A FB7-8,,0,KG,1,箱
00ef50a5965511ea8d757cd30ac4d7e6,16dm060,但马冰鲜精修腱子肉B FB7-8,,0,KG,1,箱
00f416fd965511ea8d757cd30ac4d7e6,16dm061,但马冰鲜精修腱子肉C FB7-8,,0,KG,1,箱
00f91d2e965511ea8d757cd30ac4d7e6,16dm062,但马冰鲜精修腱子肉D FB7-8,,0,KG,1,箱
00fdda82965511ea8d757cd30ac4d7e6,16dm063,但马冰鲜精修腱子肉E FB7-8,,0,KG,1,箱
0102808e965511ea8d757cd30ac4d7e6,16dm064,但马冰鲜精修腱子肉F FB7-8,,0,KG,1,箱
01081deb965511ea8d757cd30ac4d7e6,16dm039,但马冰鲜上脑心FB7-8,,0,KG,1,箱
010d5fd0965511ea8d757cd30ac4d7e6,8010580,耘垦鸡胸 ,14.9KG/箱,1,KG,14.9,箱
0112b982965511ea8d757cd30ac4d7e6,80104056,正大琵琶腿M ,9KG/箱,1,KG,9,箱
0118a2cd965511ea8d757cd30ac4d7e6,8010759,寿光鸡全腿C5,10KG/箱,1,KG,10,箱
011d7003965511ea8d757cd30ac4d7e6,8010760,寿光鸡全腿D6,10KG/箱,1,KG,10,箱
01226e7d965511ea8d757cd30ac4d7e6,80104057,寿光琵琶腿（调理）M ,9KG/箱,1,KG,9,箱
0128fcca965511ea8d757cd30ac4d7e6,16ljjg0129,美国猪大排火锅片（瘦）,,0,KG,1,盒
012d88e9965511ea8d757cd30ac4d7e6,8010581,丰联鸡胸（去油） ,10KG/箱,1,KG,10,箱
01328928965511ea8d757cd30ac4d7e6,8010582,丰联鸡胸（带油） 9.8KG/箱,9.8KG/箱,1,KG,9.8,箱
013776df965511ea8d757cd30ac4d7e6,8082311,西班牙4425进口猪舌（无根） 10KG/箱,,1,KG,10,箱
013df18a965511ea8d757cd30ac4d7e6,8090210,阿根廷2025牛腩,,0,KG,30,箱
01437a90965511ea8d757cd30ac4d7e6,8091018,新西兰82牛肚,,0,KG,30,箱
01485b5c965511ea8d757cd30ac4d7e6,8020135,六和鸭腿  ,9.5KG/箱,1,KG,9.5,箱
014d91c5965511ea8d757cd30ac4d7e6,16zm003,炙默牛前胸,,0,KG,1,箱
0152e2ea965511ea8d757cd30ac4d7e6,8011123,丰联凤爪S ,10KG/箱,1,KG,10,箱
01594bda965511ea8d757cd30ac4d7e6,8011318,丰联鸡壳 ,10KG/箱,1,KG,10,箱
015e8d8b965511ea8d757cd30ac4d7e6,8080147,颐丰冰鲜前段（分）,,0,KG,25,片
01640cab965511ea8d757cd30ac4d7e6,8080148,颐丰冰鲜中段（分）,,0,KG,25,片
016a307d965511ea8d757cd30ac4d7e6,8080149,颐丰冰鲜后段（分）,,0,KG,25,片
016fac81965511ea8d757cd30ac4d7e6,16ty00011dc,天源冻猪1号肉,,1,KG,25,箱
0174ada7965511ea8d757cd30ac4d7e6,16wc079dc,鹌鹑蛋,,0,KG,1,箱
017b3c36965511ea8d757cd30ac4d7e6,16x028,黑芝麻方糕,,0,KG,1,箱
0180805a965511ea8d757cd30ac4d7e6,16lbtx029,原味方糕,,0,KG,1,箱
01857c31965511ea8d757cd30ac4d7e6,16ljdp0102dc,绿津肥牛肉片,500g/盒,1,KG,16,箱
018a111f965511ea8d757cd30ac4d7e6,16zmfg001,炙默牛腱(分割),600*g/包,1,KG,18,箱
018fc94d965511ea8d757cd30ac4d7e6,16zmfg002,炙默牛腩(分割),400*g/包,1,KG,16,箱
01946f72965511ea8d757cd30ac4d7e6,16zmfg003,炙默牛尾（分割）,400*g/包,0,KG,0.4,包
0199a0f2965511ea8d757cd30ac4d7e6,8080150,颐丰冰鲜后段（商）,,0,KG,25,片
019e8cc3965511ea8d757cd30ac4d7e6,8080151,颐丰冰鲜中段（商）,,0,KG,25,片
01a55f5f965511ea8d757cd30ac4d7e6,8080152,颐丰冰鲜前段（商）,,0,KG,25,片
01aa88c2965511ea8d757cd30ac4d7e6,80104058,中天琵琶腿M ,10KG/箱,1,KG,10,箱
01af8879965511ea8d757cd30ac4d7e6,80104059,中天琵琶腿L ,10KG/箱,1,KG,10,箱
01b54994965511ea8d757cd30ac4d7e6,80104060,中天琵琶腿LL ,10KG/箱,1,KG,10,箱
01ba80dc965511ea8d757cd30ac4d7e6,80103105,三融鸡爪 ,9.7KG/箱,1,KG,9.7,箱
01bf8344965511ea8d757cd30ac4d7e6,8111217,宫保鸡丁 ,10KG/箱,1,KG,10,箱
01c59446965511ea8d757cd30ac4d7e6,8020820,弘发鸭头(8个) 1*,12KG/箱,1,KG,12,箱
01cab9fa965511ea8d757cd30ac4d7e6,8121318,弘发鸭舌L 1*,12KG/箱,1,KG,12,箱
01cfea08965511ea8d757cd30ac4d7e6,16wc080dc,乔老爷冷冻八宝饭200g/只,200g*40只,1,KG,8,箱
01d4fb72965511ea8d757cd30ac4d7e6,16lsdc010,雪花牛肉粒,,0,KG,1,箱
01da3727965511ea8d757cd30ac4d7e6,16lsdc011,蚝油牛肉片,,0,KG,1,箱
01dfc89f965511ea8d757cd30ac4d7e6,16lsdc012,蚝油牛柳,,0,KG,1,箱
01e451d4965511ea8d757cd30ac4d7e6,16lsdc013,牛仔骨,,0,KG,1,箱
01e90dbb965511ea8d757cd30ac4d7e6,8020441,弘发鸭中翅 ,10KG/箱,1,KG,10,箱
01ee4451965511ea8d757cd30ac4d7e6,16dm065,但马243牛修清前胸肉（6肋）,,0,KG,1,箱
01f3a660965511ea8d757cd30ac4d7e6,80101017,天颐康S翅中 ,10KG/箱,1,KG,10,箱
01f86edb965511ea8d757cd30ac4d7e6,16lbtx030,东北老哈（奶油）,,0,KG,1,箱
01fd8980965511ea8d757cd30ac4d7e6,16lbtx031,东北老哈（奶酪）,,0,KG,1,箱
02024e04965511ea8d757cd30ac4d7e6,16lbtx032,东北老哈（酸奶）,,0,KG,1,箱
0206fec7965511ea8d757cd30ac4d7e6,16lbtx033,东北老哈原味（托盒）,,0,KG,1,箱
020c443a965511ea8d757cd30ac4d7e6,16lbtx034,东北老哈奶酪（托盒）,,0,KG,1,箱